МЕСЕЦ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Ловеч,731802.28,704724.3400000001,868672.1100000001,873920.8699999999,919366.9900000001,921785.25,988594.1799999999,1078620.4700000002,937977.6499999999,905540.99,818682.81,818547.9299999999,740314.8400000001,700237.0800000001,705033.3600000001,667966.12,856403.7000000001,912787.9,1014106.48,1098777.3900000001,991994.6799999999,951000.1300000001,831860.18,806859.6700000002,760186.5200000001,738672.21,805449.22,894284.6300000001,1021428.57,978157.03,1110058.03,1116422.1300000001,958429.0100000001,947154.66,854254.72,866356.5,782230.87,801601.3,843195.22,915967.1600000001,977137.0299999999,934902.96,1048854.33,1060274.83,972308.79,977086.9400000001,857913.3300000001,1002316.2,716457.21,731700.3700000001,865392.7799999999,927834.1000000001,975456.22,998377.19,1113176.75,1118270.88,997920.2700000003,970812.6900000001,892868.17,904847.9199999999,801272.8899999999,804736.06,931345.33,991601.91,1043718.6699999999,1071295.05,1136803.7000000002,1190104.09,1063681.49,1047868.2500000001,977895.8,998135.8800000001,863267.5,827842.1100000001,985955.78,1080836.25,1105728.6700000002,1194007.47,1188609.0400000003,1283590.26,1118797.75,1071888.5100000002,1025547.29,1088526.33,878643.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Монтана,513179.7099999999,500961.1699999999,606262.05,614886.94,663058.4299999999,656463.1399999999,745304.31,750288.75,670621.3,665272.55,578026.62,583693.4099999999,530168.3500000001,506710.42000000004,515796.75,496775.95999999996,621570.7,674364.8700000001,743735.95,769863.02,713522.6499999999,681384.54,603330.49,568283.66,538736.0,519169.27,576211.13,653108.75,717210.2499999999,706521.19,807242.3900000001,803717.1300000001,672393.8699999999,672431.6599999999,590022.57,615387.8799999999,553272.2,556639.7000000001,641513.92,635727.73,683105.11,674222.64,730845.0,740061.77,702478.86,724825.2300000001,613959.56,702116.3800000001,495350.04000000004,514313.63999999996,631530.8499999999,675941.8400000001,712179.3,697309.01,814541.9800000001,799627.15,712107.29,710249.72,665274.86,651312.3800000001,585642.84,563610.4199999999,652778.29,711841.6300000001,752037.01,760847.24,842018.3200000002,847135.76,734085.15,738864.49,694784.7899999999,679781.2799999998,643619.3200000001,610716.41,691735.01,786155.5800000001,811557.51,846691.6399999999,874567.1200000001,910707.8300000001,788644.4299999999,772298.6699999999,733421.1700000002,797803.6100000001,651195.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пазарджик,1734753.4200000002,1536748.1999999997,1800685.5399999998,1781834.8399999999,1908519.7300000002,2002476.9499999997,2234157.3500000006,2433218.9800000004,1943680.8399999996,1869266.1900000002,1700591.48,1825367.85,1687830.6400000001,1592687.24,1445328.93,1207747.4700000002,1679571.38,1827749.1800000002,2152710.71,2290941.6100000003,2047676.42,1900883.0699999998,1675043.3900000001,1669131.9,1649147.52,1566947.43,1721489.4899999998,1818577.8099999996,2021938.84,2101759.58,2571132.9800000004,2662329.5400000005,2103539.23,2054479.65,1821223.07,1970621.6400000001,1795748.2899999998,1705599.6899999997,1829426.9,1860133.7299999997,1996255.6,1975717.7099999997,2345156.59,2375118.94,2111162.99,2032180.4,1856166.06,2183172.3,1620127.15,1673120.3699999999,1925370.86,1973115.4799999995,2068233.7999999998,2166703.01,2559771.3899999997,2594243.1899999995,2154721.1399999997,2074638.3000000003,1937749.75,2036997.1299999997,1855395.3699999996,1782645.8300000003,2063730.5699999998,2070301.0,2140978.5500000003,2352476.77,2642079.0800000005,2788563.33,2305281.32,2265945.39,2170674.4899999998,2197659.06,2019795.2199999997,1921221.58,2157400.85,2288579.1799999997,2468636.58,2625267.1599999997,2922745.2399999998,3045363.69,2495593.1100000003,2359251.77,2321686.4800000004,2527871.59,2169460.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Перник,780383.45,745221.3899999999,896988.49,876665.5499999999,919473.95,979522.8600000001,1047406.83,1116566.04,1038556.46,1018017.9299999999,910059.99,930565.02,873836.22,823677.3500000001,769965.23,983998.8,1047847.3699999999,1289824.73,1283638.25,1389741.4000000001,1167207.7399999998,1243248.81,1159357.46,1012678.9,1003815.1699999999,862120.3400000001,962168.98,1216628.9700000002,1182199.54,1440341.42,1444391.7799999998,1284696.26,1099893.9900000002,1135468.21,991424.75,1080721.44,1321084.3499999999,1024072.93,1102506.0699999998,1134634.1,1146397.05,1114068.17,1213864.1800000002,1307564.26,1232741.62,1206611.3599999999,1121394.61,1119304.6199999999,969038.0800000001,896177.8899999999,1021044.83,1075935.0899999999,1138996.88,1205922.7000000002,1379735.11,1409613.48,1478105.47,1395355.4600000002,1220361.17,1318114.36,1141817.3599999999,1103818.8199999998,1141705.04,1283870.81,1377035.0899999999,1607595.44,1803715.1700000004,1712712.3699999999,1659642.21,1658521.83,1357722.21,1429114.02,1165002.63,1202365.46,1328003.6500000001,1289289.01,1419750.96,1560385.3400000003,1623494.8199999998,1688669.91,1477661.3,1388414.55,1311415.24,1373482.2099999997,1209246.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Плевен,1108165.13,1062973.1099999999,1292568.8900000001,1296309.67,1345575.68,1376346.2100000002,1436979.33,1498057.8599999999,1352802.94,1338889.83,1247095.43,1273399.1700000002,1168131.94,1096489.79,1066072.53,959527.69,1203129.7599999998,1303653.75,1462451.2999999998,1493500.36,1410009.68,1406822.65,1278034.0699999998,1245467.78,1194813.6400000001,1160818.03,1284141.81,1406442.33,1480253.6400000001,1466393.37,1618428.75,1598159.1600000001,1379076.5499999998,1455678.8900000001,1326775.4400000002,1382241.1799999997,1253379.2800000003,1231764.6,1418870.52,1367111.4,1388008.17,1358245.45,1448100.27,1481419.8300000003,1403249.2799999998,1419162.34,1296969.77,1547163.97,1099129.24,1151395.73,1354465.12,1415451.02,1451675.93,1483381.85,1592154.51,1581932.3800000001,1454792.6400000001,1407586.9100000001,1365556.84,1398309.22,1282969.0000000002,1245989.82,1447291.6600000001,1489550.1600000001,1565225.78,1598018.19,1657831.9699999997,1694817.94,1558990.45,1621464.3,1547230.47,1523246.78,1435230.04,1360581.03,1548822.3499999999,1654738.5200000003,1689340.0,1781856.58,1809006.08,1864810.9099999997,1702875.1700000002,1711354.4300000002,1639378.6600000001,1749447.75,1473040.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пловдив,4699780.540000001,4455793.890000001,5182049.23,5046854.630000001,5141630.53,5484719.55,5741126.829999999,6108425.789999999,5372126.58,5213895.379999999,4954266.720000001,5238589.659999999,4788384.0,4620241.97,4201733.27,3472260.1999999993,4823556.89,5195362.970000001,5914393.8999999985,6082750.750000001,5650041.75,5356217.579999999,4694314.11,4709500.040000001,4718334.99,4506213.9399999995,4918940.999999999,5182238.450000001,5501253.569999999,5741761.960000001,6698758.279999999,6634491.46,5553096.8500000015,5488638.290000001,5086056.629999999,5589075.56,4980665.25,4985402.420000001,5337364.640000001,5355015.99,5584954.449999999,5557813.0200000005,6267292.319999999,6211163.4399999995,5724181.24,5687911.63,5235643.64,6252210.05,4494840.840000001,4815431.79,5487208.029999999,5588484.86,5759822.42,6075961.880000001,6840218.91,6708558.39,5959387.479999999,5811028.700000001,5552934.960000001,5911465.98,5432625.34,5323252.550000001,6025654.549999999,6057560.720000001,6211388.75,6791404.920000003,7284849.569999998,7549191.620000001,6597251.75,6476917.779999999,6131656.379999999,6237103.23,5768188.690000001,5644081.439999999,6325211.52,6643114.9799999995,7013333.289999999,7620798.649999999,8165886.86,8344530.5299999975,7317700.180000001,7219852.540000001,6938808.4799999995,7564119.6000000015,6577034.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Разград,574271.37,555547.02,663485.6000000001,666401.7299999999,764375.84,712839.1000000001,880377.75,854292.26,700195.29,653210.49,599055.88,641837.1399999999,563378.03,505574.12,523499.63,479905.78,597674.55,641387.21,773950.03,791955.95,689678.9199999999,671773.22,601882.8999999999,581825.77,550568.29,545458.01,606025.81,1125420.52,744791.7999999999,726331.4099999999,938496.82,913353.7300000001,688258.09,682168.62,631846.03,637777.97,605874.1100000001,575150.18,627051.2999999999,658710.41,710199.16,672847.1699999999,843688.1700000002,841182.2,711600.3799999999,689917.54,616599.64,709108.8099999999,511429.28,512045.12,640885.3099999999,669474.8300000001,725628.28,734010.2,882267.9100000001,886199.3900000001,695442.15,669310.8200000001,648252.57,642798.13,597738.46,578695.0800000001,662306.15,709929.8699999999,746193.9099999999,761658.5599999999,888375.88,925488.5900000001,734084.4500000001,730519.1,692155.06,686955.48,649509.22,578195.23,695323.22,751631.1499999999,773144.3500000001,827637.1100000001,941061.51,985953.61,763757.13,755823.5,709058.74,792061.25,647971.5700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Русе,1240284.79,1209926.7899999998,1428727.1300000001,1446770.67,1493298.2500000002,1582623.27,1748635.2400000002,1841214.17,1525960.52,1458150.49,1366484.38,1394426.98,1254968.7500000002,1152688.4200000002,1160810.4499999997,1040067.78,1338603.9,1418436.2000000002,1628886.29,1682321.04,1515621.99,1466378.28,1315397.22,1259526.84,1227300.19,1177267.53,1306419.62,1425913.79,1506901.9500000002,1537526.25,1888513.9100000001,1923434.96,1492968.9099999997,1485263.23,1328439.3000000003,1406886.38,1272595.83,1270338.07,1357966.4900000002,1418239.5000000002,1480132.9000000001,1479537.06,1675150.8900000001,1731425.25,1488032.68,1463335.0,1332786.4300000002,1618278.4500000002,1107091.21,1142552.57,1373742.22,1465651.79,1515359.9700000002,1598128.6800000002,1857306.7399999998,1895191.3499999999,1551394.78,1445133.52,1367101.1199999999,1442346.1,1389288.39,1293749.29,1526854.7000000002,1565279.69,1661442.4099999997,1751882.7200000002,1979570.86,2098497.45,1723706.77,1645821.8599999999,1567456.6800000002,1633896.4500000002,1529718.83,1435480.9600000002,1632945.98,1762386.29,1782575.8199999998,2043916.4799999997,2221913.8100000005,2466992.43,1976012.25,1802289.8900000001,1705769.8199999998,1899444.52,1587355.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Силистра,592279.74,555497.1,705409.9100000001,721470.6600000001,762596.9300000002,739642.0599999999,815240.36,934143.95,815589.6299999999,661560.55,594686.42,623698.5900000001,554066.3,536818.51,563751.5700000001,566870.62,640835.0,642033.76,741012.3399999999,741487.5799999998,707501.73,681163.72,612480.52,614626.67,577426.99,541327.1899999998,621081.23,672086.1099999999,718493.5700000001,687046.9299999999,829014.54,782663.47,663586.2899999999,699291.3500000001,653373.8099999999,652102.91,609860.06,578912.54,617962.56,685189.5099999999,703256.8300000001,673714.4,789124.8,781936.2399999999,661970.8799999999,659393.0799999998,605462.5900000001,738473.99,526269.72,512056.4499999999,651602.6100000001,671405.8099999999,705962.83,712423.82,811636.64,777622.82,671744.51,651154.2200000002,638380.4500000002,667577.47,578477.5700000001,560935.76,638150.03,679753.3,706263.0799999998,726145.0700000001,809564.32,834473.28,720547.3300000001,735307.2999999999,695155.77,687248.2700000001,646610.48,577089.0,695980.96,685046.5800000001,681826.4100000001,742212.51,812544.23,862430.2699999999,703708.6099999999,698557.29,652975.12,727118.01,594957.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сливен,872642.2100000001,816273.1500000001,964365.7,970938.9,1033193.1200000001,990548.1099999999,1070847.6099999999,1176938.09,986244.1400000001,1019642.1400000001,940843.8299999998,1016471.57,930215.5300000001,886882.5199999999,881602.6200000001,778800.94,1022451.8699999999,1083885.11,1332360.2200000002,1407931.88,1217710.1099999999,1104837.6800000002,996989.53,984673.3900000001,973370.2299999999,938906.96,1023672.6199999999,1081935.03,1200215.23,1179392.73,1473079.6999999997,1484980.79,1197291.1199999999,1126611.81,1034809.5800000001,1126574.89,1016303.6600000001,987978.1400000001,1062016.08,1093247.11,1149569.3199999998,1153381.29,1382213.5899999999,1419167.42,1230342.7,1158473.07,1051163.42,1269963.2999999998,892013.51,945089.6200000001,1088502.17,1134723.3499999999,1210546.6700000002,1300393.4100000001,1519259.52,1522680.77,1267149.33,1148664.06,1078404.55,1171638.61,1057785.91,1026557.0100000001,1167351.3399999999,1195435.83,1301183.7200000002,1404533.6,1570734.21,1608302.56,1313109.6099999999,1264948.23,1198076.34,1225565.06,1149315.3299999998,1079390.64,1222696.25,1325185.77,1316236.8599999999,1412510.9699999997,1692043.2799999998,1776516.86,1453681.9699999997,1343590.83,1276240.94,1427761.56,1223217.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
