МЕСЕЦ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
Ловеч,1066018.2599999998,1026514.6100000001,1265593.6,1280623.04,1335605.23,1312758.2599999998,1446107.83,1561304.69,1426992.6099999999,1379426.19,1229790.1700000002,1233340.64,1074034.57,1000456.8999999999,918841.65,866232.98,1160019.88,1264969.02,1446107.71,1549749.37,1437493.3,1345167.69,1172075.58,1081811.15,981025.01,936005.1300000001,1008978.8300000001,1100534.5300000003,1243199.0899999999,1208500.9,1336667.29,1383138.4300000002,1242005.97,1206487.0299999998,1071808.58,1074761.31,953934.2100000002,917528.02,966776.73,1060797.93,1168312.1800000002,1188752.6600000001,1362169.72,1424794.06,1407853.76,1398580.2399999998,1273093.88,1298252.3800000001,1046979.6599999999,1015276.38,1200696.08,1210293.72,1296491.86,1337785.1500000001,1476192.1,1470890.6,1398512.94,1367463.26,1200113.7899999998,1203021.0,1041565.63,1042208.82,1178166.0899999999,1213176.73,1254174.45,1288563.34,1358654.8,1440609.6500000001,1344545.9999999998,1350856.78,1224810.14,1182897.03,1039584.18,974153.96,1102517.57,1130713.83,1169000.1400000001,1189929.01,1241578.3800000001,1282287.9500000002,1230883.6,1182065.75,1122477.5,1192591.7799999998,947341.3400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Монтана,915353.72,849768.5999999999,1020979.08,1055987.09,1113042.97,1121093.53,1219189.6900000002,1325150.54,1224943.3,1149725.5,1032958.29,1049867.05,935092.0099999999,858336.51,792880.02,727555.3900000001,968125.74,1021627.22,1109783.5399999998,1180790.0300000003,1141820.9700000002,1083099.52,936521.8899999999,919397.92,815195.53,766265.5999999999,841156.7,895909.95,975148.6999999998,965506.91,1043436.7,1113391.82,1012742.53,985715.34,856539.6900000001,900168.52,757250.38,710288.18,793753.9100000001,832454.8999999999,877456.5599999998,900843.38,1037597.03,1144667.7899999998,1110573.39,1081727.84,999550.8899999999,1063062.76,857358.8600000001,824961.1000000001,937865.0700000001,970904.4500000002,1023049.3900000001,1033418.1599999999,1131552.41,1177503.34,1137567.75,1102177.6700000002,999437.5599999998,1012986.74,897261.0700000001,849479.35,960552.4900000001,965367.94,1032103.0599999999,1028153.1399999999,1089796.8800000001,1132659.85,1051237.26,1035722.68,956316.0800000001,948645.7,838941.86,775974.2899999999,863346.52,892430.9200000002,926107.5,939179.88,982229.42,1052989.03,1002648.73,970529.6000000001,898646.53,972918.8899999999,813468.9299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пазарджик,2110216.36,2023401.0100000002,2405331.2,2425243.47,2589039.0799999996,2701465.87,2823784.21,2985274.7199999997,2718926.33,2538353.51,2356907.58,2417861.38,2184959.8,2081286.1099999999,1798123.88,1455211.81,2125780.58,2278926.1399999997,2579600.45,2790058.1999999997,2623491.79,2401419.36,2064463.21,2001649.0699999998,1914386.18,1784494.4100000001,1947728.67,2020795.87,2233793.78,2300221.04,2579130.76,2675022.9800000004,2343991.45,2239613.86,1986515.6900000002,2059878.6900000004,1809067.33,1737375.62,1880093.6800000002,1990066.2200000002,2088818.43,2206237.0300000003,2651714.32,2755822.4100000006,2620915.6100000003,2564979.69,2433119.66,2552310.1700000004,2109642.9400000004,2052339.57,2321554.5100000002,2321772.46,2428220.08,2521618.45,2817379.6999999997,2814448.4799999995,2588628.1100000003,2513789.43,2344070.59,2384819.04,2148062.1,2095339.4700000002,2349459.25,2351963.1699999995,2402222.45,2481559.45,2656974.6500000004,2718161.5,2507429.96,2426614.36,2282770.12,2278866.2,2053966.4100000001,1915383.9300000002,2139271.48,2138581.62,2260004.47,2333511.4099999997,2509679.82,2601971.92,2408764.9899999998,2243621.24,2148545.7100000004,2246269.7300000004,1881561.6400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Перник,1147237.9,1089026.4,1277619.09,1269146.6,1362470.2200000002,1428000.2400000002,1407714.3,1484467.98,1466935.05,1483846.41,1360631.9300000002,1324430.74,1215868.33,1177198.3,1027684.3899999999,810066.1399999999,1098726.01,1254938.1500000001,1355278.72,1397758.58,1401714.73,1414035.44,1200510.6400000001,1086560.2,1062627.9,1000525.06,1069059.84,1138518.79,1179319.08,1192372.02,1226772.36,1282693.13,1164999.31,1149715.94,1012726.48,989692.79,892680.04,862616.62,982875.2,1032975.8099999998,1093693.3,1100953.45,1246800.72,1273405.5,1277065.46,1373383.6199999999,1298414.81,1316930.84,1103554.87,1063942.69,1203896.66,1191580.01,1298096.56,1333285.4899999998,1381788.3099999998,1388592.97,1351543.03,1352405.23,1233770.78,1179655.81,1095874.86,1077043.5700000003,1233130.47,1262707.1400000001,1264670.82,1381386.73,1326797.85,1320054.05,1254421.75,1281635.99,1191337.67,1108056.75,1073959.2000000002,1018821.2300000001,1165268.7999999998,1141726.18,1223939.03,1229061.85,1245515.6800000002,1246612.93,1184640.9300000002,1181789.68,1125159.9200000002,1121285.18,977433.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Плевен,1423937.99,1361851.52,1643942.73,1662979.2100000004,1730326.6100000003,1749884.54,1921884.7899999998,1998346.95,1879321.31,1862666.8700000003,1743028.54,1759856.92,1561404.14,1455553.19,1314548.29,1163952.06,1526483.8499999999,1654523.55,1802168.2,1895873.66,1866204.79,1830655.2599999998,1608447.5,1541658.3400000003,1401800.6500000001,1304047.94,1438642.53,1519231.58,1600885.1300000001,1620538.4300000002,1762652.2799999998,1809388.53,1681047.6400000001,1693544.8399999999,1475171.33,1546828.6600000001,1334865.42,1258911.01,1379457.7600000002,1434026.7799999998,1484552.4,1506943.17,1749867.3900000001,1857705.37,1855453.31,1885916.67,1786495.3000000003,1881301.3299999998,1500376.69,1437244.63,1634797.02,1659106.54,1738823.2400000002,1793301.28,1900769.08,1904206.04,1873851.98,1839838.3800000001,1731427.51,1750995.46,1556864.28,1500765.8900000001,1679851.8400000003,1695481.25,1754845.4999999998,1780984.4100000001,1845687.82,1852389.1599999997,1791902.69,1811376.9300000002,1702177.19,1696486.4800000004,1503056.26,1399536.54,1563940.3199999998,1558564.0499999998,1622352.06,1624917.67,1660738.94,1743609.3099999998,1693406.01,1701252.44,1610294.75,1721451.95,1415359.7200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Пловдив,6203951.77,5956330.859999999,7029307.629999999,6895279.43,7225866.699999999,7559787.35,8098115.09,8527690.370000001,7981014.670000002,7713331.4,7153866.96,7105674.44,6361277.33,6135030.529999999,5200648.4,4231213.33,6237379.5600000005,6857631.5600000005,7643175.130000001,7942612.619999999,7520661.37,7048921.32,6013026.9799999995,5833103.850000001,5614642.4799999995,5289150.409999999,5811521.249999999,6051298.86,6605512.109999999,6767318.9,7550035.010000002,7408862.059999999,6509485.160000001,6339196.440000001,5634598.930000002,5878399.19,5088418.15,4955131.0600000005,5479805.86,5746512.21,6059574.219999999,6207189.08,7265705.1499999985,7454514.29,7268558.989999999,7234999.4799999995,6831576.629999999,7202081.019999999,6013017.010000001,5899993.06,6664754.860000001,6605193.350000001,7040867.84,7382014.350000001,8172465.989999998,7872022.89,7491717.450000002,7327027.31,6857204.23,6880767.779999999,6236351.359999999,6169110.119999999,6925338.5200000005,6922329.959999999,7002492.9399999995,7549053.6499999985,7729980.88,7615141.89,7082236.589999999,6873779.66,6422518.739999999,6335908.41,5890343.96,5517431.28,6189786.89,6085929.1,6379998.27,6748195.059999999,7236335.64,7124909.669999999,6662550.93,6406912.58,6085086.86,6212792.54,5326332.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Разград,692143.69,665164.03,799377.4099999999,800275.22,854666.8800000001,881150.8599999999,938000.1800000002,951239.3899999999,869707.28,775629.5399999999,726190.01,759863.84,674179.03,622302.0299999999,568556.0599999999,516677.99,677039.2600000001,734359.14,834739.2000000001,841927.4,797024.6599999999,751426.7400000001,644344.7,605698.0700000001,571923.9099999999,546046.9500000001,603999.48,647935.89,728609.71,713538.75,827218.27,823652.6,691571.9400000001,676569.1,613816.74,616274.53,547610.21,521553.59,560698.56,600254.96,633321.2,652794.76,777391.3099999999,801240.12,740579.5,728808.98,669387.18,695639.78,584387.68,551928.3200000001,652651.4199999999,654878.44,711920.03,771716.52,839004.33,814031.79,723274.7000000001,692766.88,635226.9700000001,645235.99,579841.9299999999,575861.58,645154.5299999999,661676.5800000001,684487.17,704943.96,754404.3,754019.5900000001,665216.45,649046.4,601680.88,590976.56,545377.1599999999,493640.71,579620.47,573794.2,602686.36,624656.15,672503.4,667976.71,607805.53,590579.1599999999,560348.55,589611.7100000001,484880.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Русе,1240947.4,1201944.3800000001,1440511.3699999999,1463654.78,1543240.73,1597881.0699999996,1714040.5999999996,1750694.44,1609107.46,1566730.9500000002,1457009.33,1464703.0499999998,1274473.5899999999,1189481.25,1088288.4000000001,931637.3400000001,1261525.29,1379646.92,1520349.54,1563324.5900000003,1473092.55,1412865.47,1198513.5299999998,1124197.1600000001,1077643.75,1020350.9400000002,1155121.8,1220816.0300000003,1306719.54,1313287.54,1482458.5899999999,1465993.33,1283617.1,1266214.18,1110674.0,1133813.86,1006149.7199999999,984645.95,1088697.3,1167160.4000000001,1213381.2400000002,1253074.87,1467600.47,1537445.25,1459651.3300000003,1474969.8199999998,1381330.47,1474293.3200000003,1198649.1900000002,1174335.2299999997,1355372.4700000002,1383907.3599999999,1449530.75,1503927.6000000003,1646637.67,1586192.92,1470545.5,1421511.69,1322261.36,1342189.78,1191615.53,1171211.6,1318172.95,1335406.75,1384975.04,1439529.67,1513331.44,1531592.2599999998,1391134.75,1362287.71,1276240.2200000002,1266087.98,1147694.11,1060146.0299999998,1228831.13,1250268.9499999997,1282977.5899999999,1328098.95,1414790.0700000003,1432323.33,1315839.8299999998,1247732.36,1179720.67,1260206.3899999997,1023305.8099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Силистра,648946.15,629807.9199999999,751322.4500000001,777890.8999999999,823570.22,852385.26,927598.2799999998,914321.2400000001,823246.0100000001,857375.1500000001,779207.77,795283.78,706362.46,642917.5599999999,653660.11,633292.9500000001,782098.96,807929.05,878028.7399999999,886824.76,841886.1199999999,842049.0,732740.1299999999,687902.39,645105.51,586837.51,642797.4700000001,704425.04,776550.1900000002,719756.41,784912.1099999999,749286.21,667777.26,673174.67,598742.5099999999,599177.4199999999,529002.06,511809.63,547437.26,596992.3500000001,626529.2,643729.1600000001,771486.5900000001,748733.06,698840.1099999999,692868.3599999999,647429.8499999999,703768.23,554080.13,529789.52,631550.28,641372.56,691272.6799999999,728466.03,785845.0,756035.8399999999,694488.09,690419.22,630886.06,619733.72,554008.47,538373.9400000001,599655.05,628726.22,660797.73,681166.9400000001,720758.7899999999,699924.02,646099.0800000001,636917.29,595499.45,587979.2100000001,536177.52,478156.26,561479.38,587451.5800000001,607940.21,619195.91,656351.68,664324.71,615288.01,592301.36,552236.64,603407.1200000001,494748.67000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Сливен,1335656.0700000003,1342399.0699999998,1494085.9099999997,1525638.93,1637974.35,1714342.4800000002,1951105.4499999997,2250983.4899999998,1906758.72,1840779.7900000003,1667633.1099999999,1737800.9199999997,1538337.4899999998,1450992.1400000001,1259422.5899999999,1166548.83,1631800.68,1773549.94,2126961.66,2285026.5999999996,1982046.41,1794054.37,1555981.2000000002,1513656.6999999997,1403523.65,1326296.94,1465470.69,1536720.99,1697995.4800000002,1703095.92,2057242.51,2147580.0100000002,1810147.41,1663011.4600000002,1485337.1600000001,1531271.55,1294865.57,1251127.7799999998,1353212.22,1449056.0399999998,1549385.9,1629316.96,2113958.87,2285106.5599999996,2017499.2899999998,1908362.0,1753372.01,1921536.6300000001,1495456.1199999996,1448950.42,1677752.3299999998,1703271.23,1854164.96,2007862.0299999998,2361622.65,2349333.26,2081580.9599999997,1906496.89,1709790.4300000002,1808173.07,1557459.71,1511964.69,1711288.0100000005,1732786.77,1854346.31,2001941.3899999997,2193822.26,2251706.28,1902973.14,1799603.9100000001,1661651.23,1702210.6300000004,1522747.68,1387377.33,1592512.0099999998,1604247.75,1638503.73,1730923.0700000003,2007966.3800000001,2057357.21,1795282.65,1648722.81,1561024.57,1676306.87,1376362.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
